# not sure this is correct, doesnt agree with other plots
# repeat and try to get good variance information. 
# ds = 0.05				
# tau = 5				
# M=1000				
# altruistic branch				
#b.parameter	# mean =	# variance =	# mean =	# variance =
0	1	0	0	0
0.05	0.9739202855	2.91E-005	0	0
0.093728389	0.9495900654	5.59E-005	0	0
0.1371069322	0.9249424747	7.34E-005	0	0
0.1798040456	0.8985130874	1.10E-004	0	0
0.2217880628	0.8717284355	2.21E-004	0	0
0.2626927994	0.8431340869	1.70E-004	0	0
0.3027913772	0.8129838192	2.11E-004	4.32E-004	7.76E-007
0.3423064956	0.7821523498	2.32E-004	0	0
0.3801766569	0.7494400357	2.65E-004	0	0
0.4164223018	0.7150117192	4.59E-004	5.77E-006	1.03E-008
0.452652036	0.6796350982	7.53E-004	0	0
0.4841675083	0.6410559786	4.96E-004	0	0
0.5146358963	0.6011318263	4.25E-004	0	0
0.5410462078	0.5590035693	5.09E-004	0	0
0.563759559	0.5144826889	3.83E-004	4.20E-005	9.38E-008
0.5852364138	0.4688666865	4.73E-004	2.38E-006	5.26E-009
0.6000541661	0.420574539	5.34E-004	0	0
0.613658005	0.3717725164	5.57E-004	2.96E-004	5.38E-007
0.6183121677	0.321561749	4.07E-004	0	0
0.6156078692	0.2714954789	4.68E-004	0	0
0.6117888767	0.2212251041	3.81E-004	0	0
				
				
#selfish branch 				
#b.parameter	# mean =	# variance =	# mean =	# variance =
0	0	0	1	0
0.05	0	0	0.914925699	1.18E-004
0.0750988867	0	0	0.8718008328	2.33E-004
0.1004626039	0	0	0.8286247472	2.12E-004
0.1251047633	0	0	0.785133135	2.39E-004
0.1508652298	0	0	0.7421065437	3.55E-004
0.1752519335	0	0	0.6986429506	3.80E-004
0.1999989253	0	0	0.65521279	4.21E-004
0.2247450155	0	0	0.6117098156	4.45E-004
0.2500654389	0	0	0.5686645449	4.38E-004
0.2746560077	0	0	0.5249687686	4.06E-004
0.2989430188	0	0	0.4814542534	4.91E-004
0.3243013008	0	0	0.4378973825	5.10E-004
0.3482522047	0	0	0.3945892326	4.75E-004
0.3720361601	0	0	0.3503013682	3.92E-004
0.396920509	0	0	0.3067277216	3.81E-004
0.4210471813	0.0015114218	2.99E-006	0.2629397977	4.18E-004
0.4455118014	5.59E-004	9.03E-007	0.2195680547	3.48E-004
0.4733899851	0.0057879239	1.23E-005	0.17731279	2.77E-004
0.4949339227	0	0	0.1303123141	2.33E-004
0.5201260331	3.16E-004	6.39E-007	0.0865686496	1.52E-004
0.5450223064	6.07E-004	1.22E-006	0.0433492564	7.92E-005
0.5699185798	9.20E-004	2.88E-006	9.61E-005	1.87E-007
0.6701702671	3.21E-005	7.36E-008	0	0

